Gender,Age,DailyMeals,ExerciseLevel,Height,Weight,BMR,Carbs,Proteins,Fats,Calories
0,29,3,0,165,101.0,1901.25,285.188,114.075,76.05,2281.502
1,25,3,4,165,53.0,1275.25,302.872,121.149,80.766,2422.978
0,23,2,0,170,70.0,1652.5,247.875,99.15,66.1,1983.0
0,22,3,0,168,112.0,2065.0,309.75,123.9,82.6,2478.0
0,19,3,2,175,67.0,1673.75,324.289,129.716,86.477,2594.313
0,24,2,0,165,70.0,1616.25,242.438,96.975,64.65,1939.502
0,30,3,0,155,90.0,1723.75,258.562,103.425,68.95,2068.498
0,16,4,0,157,73.0,1636.25,245.438,98.175,65.45,1963.502
0,23,4,0,183,110.0,2133.75,320.062,128.025,85.35,2560.498
0,23,3,0,168,49.0,1430.0,214.5,85.8,57.2,1716.0
0,32,2,0,165,46.0,1336.25,200.438,80.175,53.45,1603.502
0,18,2,1,180,110.0,2140.0,367.812,147.125,98.083,2942.495
1,22,3,0,155,43.0,1127.75,169.162,67.665,45.11,1353.298
0,25,3,3,173,69.0,1651.25,356.051,142.42,94.947,2848.407
0,26,3,0,168,52.0,1445.0,216.75,86.7,57.8,1734.0
0,22,2,0,165,75.0,1676.25,251.438,100.575,67.05,2011.502
0,20,3,0,170,60.0,1567.5,235.125,94.05,62.7,1881.0
0,24,2,0,170,90.0,1847.5,277.125,110.85,73.9,2217.0
1,44,4,0,165,92.0,1570.25,235.538,94.215,62.81,1884.302
0,21,2,1,168,90.0,1850.0,317.969,127.188,84.792,2543.756
0,34,3,0,155,88.0,1683.75,252.562,101.025,67.35,2020.498
0,20,3,0,163,49.0,1413.75,212.062,84.825,56.55,1696.498
0,36,3,0,155,120.0,1993.75,299.062,119.625,79.75,2392.498
1,28,2,0,157,75.0,1430.25,214.538,85.815,57.21,1716.302
0,21,3,2,168,65.0,1600.0,310.0,124.0,82.667,2480.003
0,22,2,0,168,105.0,1995.0,299.25,119.7,79.8,2394.0
1,22,3,0,163,61.0,1357.75,203.662,81.465,54.31,1629.298
0,24,4,1,173,61.0,1576.25,270.918,108.367,72.245,2167.345
0,24,2,0,168,77.0,1705.0,255.75,102.3,68.2,2046.0
1,52,3,0,160,78.0,1359.0,203.85,81.54,54.36,1630.8
0,21,4,4,180,64.0,1665.0,395.438,158.175,105.45,3163.502
0,51,3,0,170,51.0,1322.5,198.375,79.35,52.9,1587.0
0,30,2,1,168,91.0,1815.0,311.953,124.781,83.188,2495.628
0,21,3,0,160,45.0,1350.0,202.5,81.0,54.0,1620.0
0,26,2,0,163,47.0,1363.75,204.562,81.825,54.55,1636.498
0,24,3,0,163,107.0,1973.75,296.062,118.425,78.95,2368.498
0,22,3,0,165,110.0,2026.25,303.938,121.575,81.05,2431.502
1,29,2,1,163,82.0,1532.75,263.441,105.377,70.251,2107.531
0,21,3,0,168,67.0,1620.0,243.0,97.2,64.8,1944.0
0,22,3,0,173,80.0,1776.25,266.438,106.575,71.05,2131.502
1,32,3,0,142,96.0,1526.5,228.975,91.59,61.06,1831.8
1,37,2,0,155,78.0,1402.75,210.412,84.165,56.11,1683.298
0,25,3,0,160,104.0,1920.0,288.0,115.2,76.8,2304.0
1,24,2,0,165,61.0,1360.25,204.038,81.615,54.41,1632.302
0,35,3,0,163,62.0,1468.75,220.312,88.125,58.75,1762.498
